step,agv_id,x,y,status,is_loaded,battery
32,1,0,29,AGVStatus.MOVING_TO_PICKUP,False,87.0
32,2,9,9,AGVStatus.MOVING_TO_DELIVERY,True,80.25
33,0,1,18,AGVStatus.MOVING_TO_DELIVERY,True,88.85
33,1,0,30,AGVStatus.MOVING_TO_PICKUP,False,86.5
33,2,10,9,AGVStatus.MOVING_TO_DELIVERY,True,79.5
34,0,2,18,AGVStatus.MOVING_TO_DELIVERY,True,88.1
34,1,0,31,AGVStatus.MOVING_TO_PICKUP,False,86.0
34,2,10,8,AGVStatus.MOVING_TO_DELIVERY,True,78.75
35,0,2,19,AGVStatus.MOVING_TO_DELIVERY,True,87.35
35,1,0,32,AGVStatus.MOVING_TO_PICKUP,False,85.5
35,2,10,7,AGVStatus.MOVING_TO_DELIVERY,True,78.0
36,0,2,20,AGVStatus.MOVING_TO_DELIVERY,True,86.6
36,1,0,33,AGVStatus.MOVING_TO_PICKUP,False,85.0
36,2,11,7,AGVStatus.MOVING_TO_DELIVERY,True,77.25
37,0,3,20,AGVStatus.MOVING_TO_DELIVERY,True,85.85
37,1,0,34,AGVStatus.MOVING_TO_PICKUP,False,84.5
37,2,11,6,AGVStatus.MOVING_TO_DELIVERY,True,76.5
38,0,3,21,AGVStatus.MOVING_TO_DELIVERY,True,85.1
38,1,0,35,AGVStatus.MOVING_TO_PICKUP,False,84.0
38,2,12,6,AGVStatus.MOVING_TO_DELIVERY,True,75.75
39,0,4,21,AGVStatus.MOVING_TO_DELIVERY,True,84.35
39,1,0,36,AGVStatus.MOVING_TO_PICKUP,False,83.5
39,2,13,6,AGVStatus.MOVING_TO_DELIVERY,True,75.0
40,0,4,22,AGVStatus.MOVING_TO_DELIVERY,True,83.6
40,1,0,37,AGVStatus.MOVING_TO_PICKUP,False,83.0
40,2,14,6,AGVStatus.MOVING_TO_DELIVERY,True,74.25
41,0,5,22,AGVStatus.MOVING_TO_DELIVERY,True,82.85
41,1,0,37,AGVStatus.MOVING_TO_DELIVERY,True,83.0
41,2,15,6,AGVStatus.MOVING_TO_DELIVERY,True,73.5
42,0,5,23,AGVStatus.MOVING_TO_DELIVERY,True,82.1
42,1,0,37,AGVStatus.MOVING_TO_DELIVERY,True,83.0
42,2,16,6,AGVStatus.MOVING_TO_DELIVERY,True,72.75
43,0,5,24,AGVStatus.MOVING_TO_DELIVERY,True,81.35
43,1,1,37,AGVStatus.MOVING_TO_DELIVERY,True,82.25
43,2,17,6,AGVStatus.MOVING_TO_DELIVERY,True,72.0
44,0,5,25,AGVStatus.MOVING_TO_DELIVERY,True,80.6
44,1,2,37,AGVStatus.MOVING_TO_DELIVERY,True,81.5
44,2,18,6,AGVStatus.MOVING_TO_DELIVERY,True,71.25
45,0,5,26,AGVStatus.MOVING_TO_DELIVERY,True,79.85
45,1,3,37,AGVStatus.MOVING_TO_DELIVERY,True,80.75
45,2,19,6,AGVStatus.MOVING_TO_DELIVERY,True,70.5
46,0,5,27,AGVStatus.MOVING_TO_DELIVERY,True,79.1
46,1,4,37,AGVStatus.MOVING_TO_DELIVERY,True,80.0
46,2,19,6,AGVStatus.MOVING_TO_DELIVERY,True,70.35
47,0,6,27,AGVStatus.MOVING_TO_DELIVERY,True,78.35
47,1,5,37,AGVStatus.MOVING_TO_DELIVERY,True,79.25
47,2,19,5,AGVStatus.MOVING_TO_DELIVERY,True,69.6
48,0,7,27,AGVStatus.MOVING_TO_DELIVERY,True,77.6
48,1,6,37,AGVStatus.MOVING_TO_DELIVERY,True,78.5
48,2,20,5,AGVStatus.MOVING_TO_DELIVERY,True,68.85
49,0,7,28,AGVStatus.MOVING_TO_DELIVERY,True,76.85
49,1,7,37,AGVStatus.MOVING_TO_DELIVERY,True,77.75
49,2,21,5,AGVStatus.MOVING_TO_DELIVERY,True,68.1
50,0,7,29,AGVStatus.MOVING_TO_DELIVERY,True,76.1
50,1,8,37,AGVStatus.MOVING_TO_DELIVERY,True,77.0
50,2,22,5,AGVStatus.MOVING_TO_DELIVERY,True,67.35
